field,n_columns,importance_mean,importance_std
ipv4_ttl,700,0.4088461538461539,0.0035620888568565277
tcp_wsize,1600,0.2234615384615385,0.006065064703853776
tcp_opt,32000,0.21230769230769234,0.007844645405527383
ipv4_id,1600,0.0716666666666667,0.003050096731633341
ipv4_cksum,1600,0.06000000000000009,0.0013688561861578783
ipv4_tl,1351,0.012948717948717992,0.0004796996649709927
tcp_doff,400,0.00423076923076926,0.0021757131728816926
tcp_psh,100,0.0008974358974359609,0.0032986359821201637
tcp_syn,100,0.0008974358974358868,0.00018130943107349403
tcp_fin,100,0.0005128205128205702,0.0007252377242939761
ipv4_tos,326,0.00012820512820514254,0.00018130943107349403
ipv4_dfbit,13,0.0,0.0
tcp_rst,100,0.0,0.0
tcp_ackf,100,-0.0006410256410256018,0.0004796996649709828
tcp_cksum,1600,-0.0007692307692307073,0.0009421114395319611
