field,n_columns,importance_mean,importance_std
tcp_opt,1714,0.11950703118234118,0.005362389077175337
ipv4_ttl,80,0.04524709538005397,0.017685242038628785
ipv4_id,160,0.019107814694029834,0.0038004331648034246
ipv4_dfbit,10,0.008981048106167807,0.0031996525490274605
ipv4_tl,94,0.005285565338276159,5.537778220165907e-05
ipv4_cksum,64,0.0,0.0
tcp_ece,10,0.0,0.0
tcp_urp,64,0.0,0.0
tcp_urg,4,0.0,0.0
tcp_syn,4,0.0,0.0
tcp_rst,4,0.0,0.0
tcp_res,12,0.0,0.0
tcp_psh,4,0.0,0.0
tcp_ns,4,0.0,0.0
tcp_fin,4,0.0,0.0
tcp_cksum,64,0.0,0.0
tcp_doff,40,0.0,0.0
tcp_cwr,10,0.0,0.0
ipv4_ver,16,0.0,0.0
ipv4_rbit,4,0.0,0.0
ipv4_proto,32,0.0,0.0
ipv4_mfbit,4,0.0,0.0
ipv4_hl,16,0.0,0.0
ipv4_foff,52,0.0,0.0
ipv4_tos,57,-9.71055124909063e-05,0.0001800751409181983
tcp_ackf,10,-0.0006847406254133492,0.002092239634575517
tcp_wsize,160,-0.0020079616646322775,0.009497145399062696
